2022-11-09 21:13:48.344 | [SUCCESS] | Oledfnd | lkovt25@gmail.com | +380505442977 | Numpy | bvsdb |
2022-11-09 21:13:56.836 | [SUCCESS] | Oledfn | lkovt25@gmail.com | +380505442976 | Pandas | sdbsdb |
2022-11-09 21:13:56.836 | [SUCCESS] | Oledfn | lkovt25@gmail.com | +380505442976 | Pandas | sdbsdb |
2022-11-09 21:14:06.965 | [SUCCESS] | Oled | lkvt25@gmail.com | +380505442971 | Seaborn | sbsdbas bc |
2022-11-09 21:14:06.965 | [SUCCESS] | Oled | lkvt25@gmail.com | +380505442971 | Seaborn | sbsdbas bc |
2022-11-09 21:14:06.965 | [SUCCESS] | Oled | lkvt25@gmail.com | +380505442971 | Seaborn | sbsdbas bc |
2022-11-09 21:17:05.819 | [SUCCESS] | Oledfm | lfcsavt25@gmail.com | +380505442477 | Matplotlib | vsdb |
2022-11-09 21:17:17.010 | [SUCCESS] | Oledfndf | lfcsabbvt25@gmail.com | +380505442677 | Seaborn | fnbdn |
2022-11-09 21:17:17.010 | [SUCCESS] | Oledfndf | lfcsabbvt25@gmail.com | +380505442677 | Seaborn | fnbdn |
2022-11-09 21:23:25.870 | [SUCCESS] | Oleh | oleh@gmail.com | +380508889966 | Numpy | test1 |
2022-11-09 21:24:21.987 | [SUCCESS] | Stepan | stepan@gmail.com | +380505432971 | Pandas | test2 |
2022-11-09 21:24:21.987 | [SUCCESS] | Stepan | stepan@gmail.com | +380505432971 | Pandas | test2 |
2022-11-09 21:25:18.665 | [SUCCESS] | Vlad | vlad@gmail.com | +380506783471 | Matplotlib | test3 |
2022-11-09 21:25:18.665 | [SUCCESS] | Vlad | vlad@gmail.com | +380506783471 | Matplotlib | test3 |
2022-11-09 21:25:18.665 | [SUCCESS] | Vlad | vlad@gmail.com | +380506783471 | Matplotlib | test3 |
2022-11-09 21:25:41.523 | [SUCCESS] | Vadym | vadym@gmail.com | +380505332971 | Seaborn | test4 |
2022-11-09 21:25:41.523 | [SUCCESS] | Vadym | vadym@gmail.com | +380505332971 | Seaborn | test4 |
2022-11-09 21:25:41.523 | [SUCCESS] | Vadym | vadym@gmail.com | +380505332971 | Seaborn | test4 |
2022-11-09 21:25:41.523 | [SUCCESS] | Vadym | vadym@gmail.com | +380505332971 | Seaborn | test4 |
